"연령별","체류자격별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"1세","총계","남자","","1416","1505","1412","1500","1461","1518",
"1세","총계","여자","","1297","1462","1500","1379","1313","1530",
"1세","공무","계","","5","13","10","10","20","10",
"1세","공무","남자","","2","7","3","4","13","5",
"1세","공무","여자","","3","6","7","6","7","5",
"1세","사증면제","계","","131","143","140","153","200","215",
"1세","사증면제","남자","","72","76","62","84","104","111",
"1세","사증면제","여자","","59","67","78","69","96","104",
"1세","관광통과","계","","1099","1060","956","788","778","866",
"1세","관광통과","남자","","547","536","459","409","399","421",
"1세","관광통과","여자","","552","524","497","379","379","445",
"1세","단기방문","계","","810","917","989","879","722","627",
"1세","단기방문","남자","","426","478","485","477","379","298",
"1세","단기방문","여자","","384","439","504","402","343","329",
"1세","방문동거","계","","205","353","311","503","597","721",
"1세","방문동거","남자","","113","170","160","241","325","366",
"1세","방문동거","여자","","92","183","151","262","272","355",
"1세","거주","계","","59","55","58","56","62","66",
"1세","거주","남자","","33","23","25","29","34","41",
"1세","거주","여자","","26","32","33","27","28","25",
"1세","동반","계","","341","349","348","382","309","412",
"1세","동반","남자","","190","178","167","197","169","207",
"1세","동반","여자","","151","171","181","185","140","205",
"1세","재외동포","계","","22","15","16","18","16","11",
"1세","재외동포","남자","","11","7","9","14","7","3",
"1세","재외동포","여자","","11","8","7","4","9","8",
"1세","영주","계","","40","60","79","86","68","116",
"1세","영주","남자","","22","29","40","42","30","64",
"1세","영주","여자","","18","31","39","44","38","52",
"1세","기타","계","","","2","5","4","2","4",
"1세","기타","남자","","","1","2","3","1","2",
"1세","기타","여자","","","1","3","1","1","2",
"1세","관광상륙","계","","1","","","","","",
"1세","관광상륙","남자","","0","","","","","",
"1세","관광상륙","여자","","1","","","","","",
"2세","총계","계","","2042","2230","2391","2339","2199","2376",
"2세","총계","남자","","1068","1134","1200","1188","1124","1212",
"2세","총계","여자","","974","1096","1191","1151","1075","1164",
"2세","공무","계","","6","11","11","4","5","9",
"2세","공무","남자","","3","7","6","2","3","5",
