"전출지별","전입지별","성별","연령별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"전국","인천광역시","계","계","순이동자수","명","22035","9324","9538","5777","-1670","-67",
"전국","인천광역시","계","0 - 4세","이동자수","명","30582","29232","29730","26152","22293","23429",
"전국","인천광역시","계","0 - 4세","순이동자수","명","1726","519","650","-49","-626","-1097",
"전국","인천광역시","계","5 - 9세","이동자수","명","22739","21317","22000","19662","17937","19047",
"전국","인천광역시","계","5 - 9세","순이동자수","명","791","136","215","-362","-916","-946",
"전국","인천광역시","계","10 - 14세","이동자수","명","20785","18728","18006","15415","13524","14285",
"전국","인천광역시","계","10 - 14세","순이동자수","명","800","473","282","114","-197","-251",
"전국","인천광역시","계","15 - 19세","이동자수","명","25106","23902","24057","21439","18907","18249",
"전국","인천광역시","계","15 - 19세","순이동자수","명","471","231","272","391","-256","-146",
"전국","인천광역시","계","20 - 24세","이동자수","명","33364","34292","37402","36204","34143","35227",
"전국","인천광역시","계","20 - 24세","순이동자수","명","1918","1002","912","1579","1120","1422",
"전국","인천광역시","계","25 - 29세","이동자수","명","46294","44352","45958","45019","44624","49995",
"전국","인천광역시","계","25 - 29세","순이동자수","명","2330","752","228","495","238","208",
"전국","인천광역시","계","30 - 34세","이동자수","명","62415","60310","58874","52720","46642","47474",
"전국","인천광역시","계","30 - 34세","순이동자수","명","4385","1898","1716","1031","-107","97",
"전국","인천광역시","계","35 - 39세","이동자수","명","46031","44505","46892","44686","42282","46262",
"전국","인천광역시","계","35 - 39세","순이동자수","명","2611","1119","1193","503","-833","-412",
"전국","인천광역시","계","40 - 44세","이동자수","명","41713","39913","40909","36884","32790","33578",
"전국","인천광역시","계","40 - 44세","순이동자수","명","1703","515","731","403","-337","-356",
"전국","인천광역시","계","45 - 49세","이동자수","명","33758","34158","36301","34738","32357","33393",
"전국","인천광역시","계","45 - 49세","순이동자수","명","899","389","428","438","-229","61",
"전국","인천광역시","계","50 - 54세","이동자수","명","32577","32463","34167","30732","28048","28975",
"전국","인천광역시","계","50 - 54세","순이동자수","명","962","15","290","-55","-346","-231",
"전국","인천광역시","계","55 - 59세","이동자수","명","22601","24270","28025","27686","25925","28657",
