"행정구역별","각세별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"전국","18세","시군구간전출","","26870","26464","25603","23077","22524","22239",
"전국","18세","시도간전입","","35549","35706","34502","32490","32464","32670",
"전국","18세","시도간전출","","35549","35706","34502","32490","32464","32670",
"전국","19세","총전입","","104475","109325","112787","105786","102990","100371",
"전국","19세","총전출","","104475","109325","112787","105786","102990","100371",
"전국","19세","순이동","","0","0","0","0","0","0",
"전국","19세","시군구간전입","","26937","27349","28243","26157","25520","24912",
"전국","19세","시군구간전출","","26937","27349","28243","26157","25520","24912",
"전국","19세","시도간전입","","39547","42914","44248","43465","44037","43486",
"전국","19세","시도간전출","","39547","42914","44248","43465","44037","43486",
"전국","20세","총전입","","99913","102165","104973","100730","96017","96663",
"전국","20세","총전출","","99913","102165","104973","100730","96017","96663",
"전국","20세","순이동","","0","0","0","0","0","0",
"전국","20세","시군구간전입","","25907","26264","26923","25355","24540","24507",
"전국","20세","시군구간전출","","25907","26264","26923","25355","24540","24507",
"전국","20세","시도간전입","","35893","36928","37927","38192","37509","38266",
"전국","20세","시도간전출","","35893","36928","37927","38192","37509","38266",
"전국","21세","총전입","","107079","112293","114388","107807","105269","105052",
"전국","21세","총전출","","107079","112293","114388","107807","105269","105052",
"전국","21세","순이동","","0","0","0","0","0","0",
"전국","21세","시군구간전입","","27144","28494","29186","27260","26954","26548",
"전국","21세","시군구간전출","","27144","28494","29186","27260","26954","26548",
"전국","21세","시도간전입","","42094","43647","44135","42617","42380","42647",
"전국","21세","시도간전출","","42094","43647","44135","42617","42380","42647",
"전국","22세","총전입","","113498","128682","137403","131195","128121","130352",
"전국","22세","총전출","","113498","128682","137403","131195","128121","130352",
"전국","22세","순이동","","0","0","0","0","0","0",
"전국","22세","시군구간전입","","28377","31641","33729","32144","31748","32135",
"전국","22세","시군구간전출","","28377","31641","33729","32144","31748","32135",
"전국","22세","시도간전입","","49484","56304","60149","59126","58113","59212",
"전국","22세","시도간전출","","49484","56304","60149","59126","58113","59212",
"전국","23세","총전입","","117240","127052","145175","143150","139768","144002",
"전국","23세","총전출","","117240","127052","145175","143150","139768","144002",
"전국","23세","순이동","","0","0","0","0","0","0",
"전국","23세","시군구간전입","","29203","31376","36216","35191","35063","36518",
"전국","23세","시군구간전출","","29203","31376","36216","35191","35063","36518",
"전국","23세","시도간전입","","52916","57307","65023","65389","64539","65672",
"전국","23세","시도간전출","","52916","57307","65023","65389","64539","65672",
"전국","24세","총전입","","125067","135119","146332","156181","156103","160284",
"전국","24세","총전출","","125067","135119","146332","156181","156103","160284",
"전국","24세","순이동","","0","0","0","0","0","0",
"전국","24세","시군구간전입","","31717","34207","36797","38999","39657","41224",
"전국","24세","시군구간전출","","31717","34207","36797","38999","39657","41224",
"전국","24세","시도간전입","","57264","61953","67186","73084","73591","74363",
"전국","24세","시도간전출","","57264","61953","67186","73084","73591","74363",
"전국","25세","총전입","","133636","142506","152089","155103","169017","179332",
"전국","25세","총전출","","133636","142506","152089","155103","169017","179332",
"전국","25세","순이동","","0","0","0","0","0","0",
"전국","25세","시군구간전입","","34744","36690","39023","39759","44476","47674",
"전국","25세","시군구간전출","","34744","36690","39023","39759","44476","47674",
"전국","25세","시도간전입","","61283","65557","69697","71620","78439","82148",
"전국","25세","시도간전출","","61283","65557","69697","71620","78439","82148",
"전국","26세","총전입","","146912","150175","158543","159404","163407","186821",
"전국","26세","총전출","","146912","150175","158543","159404","163407","186821",
"전국","26세","순이동","","0","0","0","0","0","0",
"전국","26세","시군구간전입","","40377","40248","42921","43169","44672","51904",
"전국","26세","시군구간전출","","40377","40248","42921","43169","44672","51904",
"전국","26세","시도간전입","","64940","67289","70149","70762","72757","82344",
"전국","26세","시도간전출","","64940","67289","70149","70762","72757","82344",
"전국","27세","총전입","","159944","158940","160790","160913","162218","174905",
"전국","27세","총전출","","159944","158940","160790","160913","162218","174905",
"전국","27세","순이동","","0","0","0","0","0","0",
"전국","27세","시군구간전입","","45802","44636","45360","45725","46858","50900",
"전국","27세","시군구간전출","","45802","44636","45360","45725","46858","50900",
"전국","27세","시도간전입","","67065","68097","67838","67947","68129","72609",
"전국","27세","시도간전출","","67065","68097","67838","67947","68129","72609",
"전국","28세","총전입","","167339","168967","166393","160337","161882","170990",
"전국","28세","총전출","","167339","168967","166393","160337","161882","170990",
"전국","28세","순이동","","0","0","0","0","0","0",
"전국","28세","시군구간전입","","50583","50464","49293","47385","48868","51748",
"전국","28세","시군구간전출","","50583","50464","49293","47385","48868","51748",
"전국","28세","시도간전입","","65533","66931","66485","63833","64484","67359",
"전국","28세","시도간전출","","65533","66931","66485","63833","64484","67359",
"전국","29세","총전입","","186931","175682","176210","166447","161931","170562",
"전국","29세","총전출","","186931","175682","176210","166447","161931","170562",
"전국","29세","순이동","","0","0","0","0","0","0",
"전국","29세","시군구간전입","","57875","53912","54238","50703","49559","52767",
"전국","29세","시군구간전출","","57875","53912","54238","50703","49559","52767",
"전국","29세","시도간전입","","69758","66348","66638","63623","62186","64566",
