"인천광역시","충청남도",8752,1959,8964,2180,9101,2465,8728,2321,8730,2479,8194,1829
"인천광역시","전라북도",3577,-294,3745,157,3581,186,3756,341,3502,-14,3087,-637
"인천광역시","전라남도",3751,269,3848,291,3876,380,3523,-14,3205,-261,3089,-420
"인천광역시","경상북도",3944,171,3950,12,3982,209,3589,32,3352,-136,3173,-489
"인천광역시","경상남도",3330,-23,3470,204,3670,206,2941,-326,2919,-471,2712,-567
"인천광역시","제주특별자치도",1720,553,1941,719,2276,989,2375,961,2713,1161,2326,588
"광주광역시","전국",229288,2592,246043,2977,233875,9272,221074,7898,216256,8118,225108,6216
"광주광역시","서울특별시",10964,1835,11518,1759,10860,1644,10432,2078,10561,2629,10859,3481
"광주광역시","부산광역시",1157,110,1667,-189,1418,223,1264,164,1135,62,1117,106
"광주광역시","대구광역시",676,54,746,-156,547,-82,577,30,647,132,614,65
"광주광역시","인천광역시",2109,170,2010,3,2167,273,2080,318,2000,482,1993,542
"광주광역시","광주광역시",155265,0,164321,0,150777,0,145582,0,142174,0,149703,0
"광주광역시","대전광역시",1610,363,1665,417,1481,160,1537,448,1383,357,1475,340
"광주광역시","울산광역시",448,69,518,112,538,56,398,-18,322,-70,342,-67
"광주광역시","세종특별자치시",239,128,593,398,926,690,706,469,777,451,897,583
"광주광역시","경기도",10895,1044,11972,1221,10788,1465,10004,1772,9812,2073,10740,3323
"광주광역시","강원도",899,94,954,126,1029,84,827,76,859,129,730,19
"광주광역시","충청북도",782,66,945,41,970,259,848,201,910,230,1028,299
"광주광역시","충청남도",1843,393,2215,418,2053,585,1966,539,1986,539,2016,581
"광주광역시","전라북도",5549,-177,5798,-423,5632,-28,5618,-115,5288,-388,5072,-1114
"광주광역시","전라남도",33736,-1762,37356,-1586,40882,3304,35818,1311,35140,1256,35234,-1967
"광주광역시","경상북도",819,47,981,134,1008,88,835,104,829,45,826,-15
"광주광역시","경상남도",1475,103,1767,353,1643,188,1453,133,1242,-102,1284,-212
"광주광역시","제주특별자치도",822,55,1017,349,1156,363,1129,388,1191,293,1178,252
"대전광역시","전국",230547,-311,248397,8838,241390,20616,229883,10631,227624,16175,227632,14753
"대전광역시","서울특별시",14156,716,14172,769,13559,106,13726,1107,14118,2303,14221,2630
"대전광역시","부산광역시",1986,-139,2190,40,2054,-155,1807,-404,1762,-397,1608,-572
"대전광역시","대구광역시",1762,-457,1818,-436,1667,-418,1710,-239,1524,-454,1525,-542
"대전광역시","인천광역시",2662,-11,2621,-115,2516,-240,2463,-153,2458,-94,2577,314
"대전광역시","광주광역시",1247,-363,1248,-417,1321,-160,1089,-448,1026,-357,1135,-340
"대전광역시","대전광역시",148793,0,156961,0,139609,0,138876,0,131656,0,133318,0
"대전광역시","울산광역시",822,43,909,70,939,49,662,-322,621,-286,595,-249
"대전광역시","세종특별자치시",4012,1662,14093,11349,25788,22104,17575,12969,23707,17836,22180,15815
"대전광역시","경기도",15775,-57,15189,2,15354,88,15141,555,14807,872,15399,1987
"대전광역시","강원도",2737,-258,2400,-467,2423,-479,2213,-570,2302,-380,2094,-435
"대전광역시","충청북도",8308,-134,8256,-296,8265,516,7748,-169,7653,-361,7902,-3
"대전광역시","충청남도",16924,422,16552,-485,16030,479,15824,526,15321,239,14673,-676
"대전광역시","전라북도",3761,-748,4116,-456,3766,-630,3552,-751,3627,-977,3358,-1276
"대전광역시","전라남도",1755,-78,1799,-227,1798,-221,1672,-333,1603,-397,1569,-458
"대전광역시","경상북도",2773,-660,2851,-568,2914,-594,2767,-776,2600,-873,2599,-912
"대전광역시","경상남도",2389,-454,2483,-94,2420,-193,2174,-614,2004,-646,2063,-657
"대전광역시","제주특별자치도",685,205,739,169,967,364,884,253,835,147,816,127
"울산광역시","전국",157185,-2307,173229,-2786,170473,80,155812,7622,147116,11917,140576,12654
"울산광역시","서울특별시",6347,805,6458,411,6954,1004,6750,1648,6708,2448,6849,2763
"울산광역시","부산광역시",10589,-1011,11090,-1215,11255,-555,10246,231,10467,1044,9667,591
"울산광역시","대구광역시",3282,-551,3275,-560,3189,-486,3216,-50,3335,731,3056,455
"울산광역시","인천광역시",1054,-235,1085,2,1249,-110,1135,55,1033,71,1095,317
"울산광역시","광주광역시",379,-69,406,-112,482,-56,416,18,392,70,409,67
"울산광역시","대전광역시",779,-43,839,-70,890,-49,984,322,907,286,844,249
"울산광역시","울산광역시",107253,0,122133,0,116131,0,103342,0,94789,0,88692,0
"울산광역시","세종특별자치시",87,9,188,98,306,190,273,168,352,233,361,230
"울산광역시","경기도",5863,-60,5321,-747,5847,-242,5955,1243,6435,2625,6660,2700
"울산광역시","강원도",897,-198,989,-157,1128,25,1040,101,947,181,927,190
"울산광역시","충청북도",891,-282,891,26,1162,105,990,274,977,344,1193,617
"울산광역시","충청남도",1364,-12,1452,225,1555,87,1493,357,1648,701,1660,652
"울산광역시","전라북도",1198,81,1134,35,935,-456,839,7,740,-548,697,-402
"울산광역시","전라남도",972,-101,1064,23,1222,64,1099,122,1175,286,1091,214
"울산광역시","경상북도",7808,123,7801,-480,8715,73,8264,1357,7875,1489,8911,2751
"울산광역시","경상남도",8022,-807,8611,-365,8772,246,9026,1455,8521,1544,7671,937
"울산광역시","제주특별자치도",400,44,492,100,681,240,744,314,815,412,793,323
"세종특별자치시","전국",15109,-8696,23070,-33456,30950,-53044,35236,-29816,47383,-34690,55000,-31433
"세종특별자치시","서울특별시",1095,-1756,1497,-4984,2228,-5322,2812,-3131,3195,-2618,3724,-2137
"세종특별자치시","부산광역시",184,-77,235,-245,364,-565,343,-512,443,-419,530,-413
"세종특별자치시","대구광역시",109,-124,192,-334,219,-660,263,-379,340,-487,377,-510
"세종특별자치시","인천광역시",312,-280,322,-668,451,-1045,537,-861,632,-633,771,-354
"세종특별자치시","광주광역시",111,-128,195,-398,236,-690,237,-469,326,-451,314,-583
"세종특별자치시","대전광역시",2350,-1662,2744,-11349,3684,-22104,4606,-12969,5871,-17836,6365,-15815
"세종특별자치시","울산광역시",78,-9,90,-98,116,-190,105,-168,119,-233,131,-230
"세종특별자치시","세종특별자치시",4105,0,10455,0,13990,0,14546,0,23245,0,28450,0
"세종특별자치시","경기도",1602,-2372,1840,-5701,2585,-7087,3436,-3693,3755,-3251,4322,-2817
"세종특별자치시","강원도",238,-34,219,-271,316,-449,410,-300,482,-315,449,-421
"세종특별자치시","충청북도",1875,-919,1868,-4072,2308,-6753,2626,-2918,2815,-3455,2973,-3005
"세종특별자치시","충청남도",2205,-710,2344,-3759,2905,-5479,3351,-2517,3881,-2706,4167,-2531
"세종특별자치시","전라북도",245,-252,310,-597,411,-1011,633,-668,707,-844,689,-885
"세종특별자치시","전라남도",129,-133,186,-216,251,-448,316,-325,369,-348,444,-427
"세종특별자치시","경상북도",218,-135,269,-333,403,-574,440,-389,452,-556,556,-561
"세종특별자치시","경상남도",212,-72,241,-360,344,-618,411,-471,488,-546,464,-685
"세종특별자치시","제주특별자치도",41,-33,63,-71,139,-49,164,-46,263,8,274,-59
"경기도","전국",1821303,-74131,1834379,-57396,1898312,-94768,1824976,-133617,1772162,-116162,1871621,-170094
"경기도","서울특별시",246464,-94337,249701,-83084,239557,-119780,234357,-136403,234448,-107985,233320,-135216
"경기도","부산광역시",14261,-1670,15819,-804,14973,-1468,13485,-2916,12853,-2984,11904,-4801
"경기도","대구광역시",11009,-2650,10961,-1852,10043,-2279,9627,-2291,8872,-3482,8920,-4307
"경기도","인천광역시",74479,11148,71554,5651,71513,5160,65864,-900,61797,-6041,63361,-9571
"경기도","광주광역시",9851,-1044,10751,-1221,9323,-1465,8232,-1772,7739,-2073,7417,-3323
"경기도","대전광역시",15832,57,15187,-2,15266,-88,14586,-555,13935,-872,13412,-1987
"경기도","울산광역시",5923,60,6068,747,6089,242,4712,-1243,3810,-2625,3960,-2700
"경기도","세종특별자치시",3974,2372,7541,5701,9672,7087,7129,3693,7006,3251,7139,2817
"경기도","경기도",1274495,0,1275072,0,1346264,0,1301101,0,1259187,0,1366502,0
"경기도","강원도",29598,2391,29917,1710,30961,2723,29355,986,28698,1042,27502,-1900
"경기도","충청북도",22826,2743,23613,3916,23692,3617,22618,2815,22486,2653,23057,2108
"경기도","충청남도",36185,4651,37181,5256,37791,4514,37784,5730,39295,7938,37148,2529
"경기도","전라북도",18123,337,19776,1723,18131,578,17045,-1038,16612,-1463,14759,-3680
"경기도","전라남도",16302,652,17144,1486,16804,1055,15073,-939,14431,-718,14325,-1845
"경기도","경상북도",18618,-1197,18608,-520,20166,59,18022,-1676,16077,-3654,15073,-5884
"경기도","경상남도",15806,-426,16408,110,17483,538,15049,-1525,13661,-3473,13428,-4949
"경기도","제주특별자치도",7557,2782,9078,3787,10584,4739,10937,4417,11255,4324,10394,2615
"강원도","전국",214931,-2986,226284,-2085,222352,-4773,221592,-1892,209618,-2035,220252,3854
"강원도","서울특별시",19954,-647,20174,-999,20030,-2629,19877,-1713,19761,-1255,20417,859
"강원도","부산광역시",2020,-138,2183,98,2333,28,2167,63,2028,-193,1935,-8
"강원도","대구광역시",1701,-119,1549,-335,1735,-149,1818,70,1536,-121,1643,-33
