"국적별","체류자격별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"미얀마","동반","여자","","13","12","11","2","3","1",
"미얀마","영주","계","","","","","","","1",
"미얀마","영주","남자","","","","","","","0",
"미얀마","영주","여자","","","","","","","1",
"미얀마","결혼이민","계","","2","5","16","24","18","25",
"미얀마","결혼이민","남자","","0","0","4","3","3","3",
"미얀마","결혼이민","여자","","2","5","12","21","15","22",
"영령 인도양섬","총계","계","","1","","","","","",
"영령 인도양섬","총계","남자","","1","","","","","",
"영령 인도양섬","총계","여자","","0","","","","","",
"영령 인도양섬","단기방문","계","","1","","","","","",
"영령 인도양섬","단기방문","남자","","1","","","","","",
"영령 인도양섬","단기방문","여자","","0","","","","","",
"캄보디아","총계","계","","10496","9493","9564","10248","9523","8710",
"캄보디아","총계","남자","","7281","6656","6562","6908","6395","5801",
"캄보디아","총계","여자","","3215","2837","3002","3340","3128","2909",
"캄보디아","공무","계","","5","39","28","10","3","34",
"캄보디아","공무","남자","","2","35","22","8","3","31",
"캄보디아","공무","여자","","3","4","6","2","0","3",
"캄보디아","사증면제","계","","24","19","8","2","3","8",
"캄보디아","사증면제","남자","","14","16","5","2","1","8",
"캄보디아","사증면제","여자","","10","3","3","0","2","0",
"캄보디아","관광통과","계","","4","67","41","6","1","19",
"캄보디아","관광통과","남자","","2","54","32","4","0","13",
"캄보디아","관광통과","여자","","2","13","9","2","1","6",
"캄보디아","단기방문","계","","763","887","763","891","824","887",
"캄보디아","단기방문","남자","","268","342","296","345","333","321",
"캄보디아","단기방문","여자","","495","545","467","546","491","566",
"캄보디아","단기취업","계","","","","","","","32",
"캄보디아","단기취업","남자","","","","","","","13",
"캄보디아","단기취업","여자","","","","","","","19",
"캄보디아","문화예술","계","","","2","4","4","2","2",
"캄보디아","문화예술","남자","","","2","2","4","1","0",
"캄보디아","문화예술","여자","","","0","2","0","1","2",
"캄보디아","구직","계","","","","","","2","2",
"캄보디아","구직","남자","","","","","","1","0",
"캄보디아","구직","여자","","","","","","1","2",
"캄보디아","유학","계","","101","120","128","125","98","115",
"캄보디아","유학","남자","","56","71","74","71","50","70",
"캄보디아","유학","여자","","45","49","54","54","48","45",
"캄보디아","기술연수","계","","","1","1","2","2","1",
"캄보디아","기술연수","남자","","","0","0","2","0","0",
"캄보디아","기술연수","여자","","","1","1","0","2","1",
"캄보디아","일반연수","계","","70","81","107","75","61","63",
"캄보디아","일반연수","남자","","40","58","65","45","41","40",
"캄보디아","일반연수","여자","","30","23","42","30","20","23",
"캄보디아","종교","계","","2","1","","","1","1",
"캄보디아","종교","남자","","1","1","","","1","1",
"캄보디아","종교","여자","","1","0","","","0","0",
"캄보디아","무역경영","계","","1","","","","","",
"캄보디아","무역경영","남자","","1","","","","","",
"캄보디아","무역경영","여자","","0","","","","","",
"캄보디아","교수","계","","","","1","","1","3",
"캄보디아","교수","남자","","","","1","","1","3",
"캄보디아","교수","여자","","","","0","","0","0",
"캄보디아","연구","계","","","","","","","1",
"캄보디아","연구","남자","","","","","","","1",
"캄보디아","연구","여자","","","","","","","0",
"캄보디아","특정활동","계","","","1","4","2","1","5",
"캄보디아","특정활동","남자","","","0","3","2","1","4",
"캄보디아","특정활동","여자","","","1","1","0","0","1",
