"필리핀","남자",28584,72,82,69,106,2013,4733,6812,7084,4059,2219,714,344,166,68,21,22,29366,57,78,50,122,1994,5261,6378,7298,4270,2375,814,356,194,70,25,24,27084,67,42,41,96,1813,5435,6069,6741,3587,1775,815,315,174,69,26,19,26610,97,67,54,89,1762,5842,6452,6296,3238,1544,717,254,130,48,17,X
"필리핀","여자",22754,84,91,75,171,2938,6015,5033,3446,1913,1196,715,542,284,156,48,47,22442,78,86,68,145,2336,5893,5130,3481,2044,1282,773,577,297,147,62,43,20949,73,68,44,137,1704,5569,4977,3320,1960,1238,797,549,272,136,66,39,20922,106,77,61,115,1423,5285,5225,3538,2102,1201,771,524,307,114,53,20
"태국","계",78032,84,66,42,831,9274,15700,17484,15491,10540,5557,2062,645,147,51,22,36,82225,70,57,46,708,8879,16733,18045,16359,11361,6338,2534,785,195,54,22,39,93077,54,37,36,776,9652,19663,20301,18393,12531,7182,3053,1037,256,58,19,29,151104,94,42,35,1648,18070,32967,32018,28703,19607,11279,4880,1383,300,51,14,13
"태국","남자",47773,47,32,18,513,5465,9389,10752,9764,6522,3469,1260,398,88,24,11,21,48278,43,28,25,384,5031,9534,10725,9953,6732,3742,1456,453,113,26,12,21,51422,27,16,13,393,5142,10563,11167,10629,7050,3969,1688,562,148,28,11,16,80124,44,18,8,857,9080,17184,16622,15235,10750,6414,2879,805,185,28,6,9
"태국","여자",30259,37,34,24,318,3809,6311,6732,5727,4018,2088,802,247,59,27,11,15,33947,27,29,21,324,3848,7199,7320,6406,4629,2596,1078,332,82,28,10,18,41655,27,21,23,383,4510,9100,9134,7764,5481,3213,1365,475,108,30,8,13,70980,50,24,27,791,8990,15783,15396,13468,8857,4865,2001,578,115,23,8,X
"인도네시아","계",42043,83,57,33,273,8731,11933,10788,6813,2596,524,97,52,26,15,10,12,41656,84,53,34,288,8350,11903,10339,6701,2924,687,156,65,27,22,8,15,38418,81,49,19,221,7029,11441,9453,6507,2642,671,163,78,26,20,7,11,38890,96,65,27,246,7837,11630,8897,6338,2785,674,165,69,31,16,5,9
"인도네시아","남자",38439,39,33,15,138,7736,11119,10116,6342,2365,403,57,33,17,8,9,9,37886,44,31,20,129,7340,11060,9633,6210,2661,560,110,40,18,12,7,11,34708,42,24,12,84,6055,10566,8804,6022,2371,532,110,46,16,12,5,7,35118,51,31,16,85,6878,10726,8289,5835,2497,526,106,43,17,9,X,6
"인도네시아","여자",3604,44,24,18,135,995,814,672,471,231,121,40,19,9,7,X,X,3770,40,22,14,159,1010,843,706,491,263,127,46,25,9,10,X,X,3710,39,25,7,137,974,875,649,485,271,139,53,32,10,8,X,X,3772,45,34,11,161,959,904,608,503,288,148,59,26,14,7,X,X
"캄보디아","계",41272,13,11,11,318,13345,15228,7541,2568,837,451,453,307,139,33,13,X,44358,16,7,12,190,14102,15942,8379,3054,891,559,548,408,184,47,16,X,45406,24,8,6,181,12972,16995,8850,3634,829,617,548,452,220,59,9,X,45144,34,13,9,126,11056,17402,9570,4129,840,661,562,450,219,58,12,X
"캄보디아","남자",28896,8,5,6,169,9348,10568,5581,2040,558,217,200,121,52,17,X,X,30750,9,X,8,86,9823,11127,5959,2368,590,256,244,173,69,24,9,X,31144,10,X,X,86,8742,11983,6224,2699,561,275,239,200,92,22,6,X,30860,17,7,X,51,7261,12437,6671,2983,573,296,244,198,88,25,X,X
"캄보디아","여자",12376,5,6,5,149,3997,4660,1960,528,279,234,253,186,87,16,9,X,13608,7,X,X,104,4279,4815,2420,686,301,303,304,235,115,23,7,X,14262,14,5,5,95,4230,5012,2626,935,268,342,309,252,128,37,X,X,14284,17,6,5,75,3795,4965,2899,1146,267,365,318,252,131,33,9,X
"미얀마","계",18142,16,14,7,59,4308,6250,4144,2052,745,311,143,60,19,13,X,X,21327,21,23,12,81,5295,7492,4907,2204,689,343,156,66,20,15,X,X,22985,28,28,28,104,5135,8396,5535,2355,739,344,177,74,24,15,X,X,25874,38,23,18,170,5785,9642,6369,2726,785,198,75,18,15,10,X,X
